placed_at_utc,model,ticker,side,count,price_cents,cost_usd,order_id,outcome
2026-07-01T21:47:24.569588Z,untracked,KXMENWORLDCUP-26-FR,no,7.41,66,4.87,57387276-6a65-4b96-9737-7d4b92cec938,
2026-07-01T21:48:38.658598Z,untracked,KXMENWORLDCUP-26-ES,yes,50.5,9,4.70,601f5f47-5db8-4cc7-b6cf-ecbfea639453,
2026-07-02T04:47:38.457952Z,untracked,KXHIGHNY-26JUL02-T99,no,9.66,50,4.83,64c58823-dfec-41ba-b53d-c51a1164ef46,win (+50c)
2026-07-02T19:05:25.555633Z,untracked,KXBTCD-26JUL0317-T62999.99,yes,1,10,0.10,64a65e0f-4630-46bd-b883-b32c49ec8d79,loss (-10c)
2026-07-02T19:05:25.818265Z,untracked,KXBTCD-26JUL0217-T61999.99,yes,1,14,0.14,3ab92891-4d3b-42b0-bbe8-b82833ff0393,loss (-14c)
2026-07-02T19:05:25.919151Z,untracked,KXBTCD-26JUL0216-T61899.99,yes,2,8,0.16,2bcdbcab-e2b9-4664-818a-60d3d0e306fa,loss (-8c)
2026-07-02T19:06:33.75671Z,untracked,KXETHD-26JUL0216-T1709.99,yes,2,8,0.16,297d7bed-bb74-42fd-95fb-10f4c013824f,loss (-8c)
2026-07-03T17:09:32.302632Z,untracked,KXHIGHCHI-26JUL03-T89,yes,7,1,0.07,1bb35e88-4267-4853-b8c9-039123f2be7f,loss (-1c)
2026-07-04T14:22:19.645397Z,untracked,KXBTCD-26JUL0411-T62799.99,yes,15,4,0.60,086c0b61-e27f-4e33-ba51-636949f81c0a,loss (-4c)
2026-07-04T14:22:19.792418Z,untracked,KXETHD-26JUL0411-T1779.99,yes,12,5,0.60,1b35aa20-96ab-458b-a767-113fe54e844d,loss (-5c)
2026-07-04T16:00:04.850473Z,untracked,KXETHD-26JUL0417-T1819.99,yes,4,8,0.32,639a6df6-1714-4fa7-b3dc-640199c87ab7,loss (-8c)
2026-07-04T16:49:03.780424Z,untracked,KXETHD-26JUL0417-T1819.99,yes,4,7,0.28,b39b8b40-5892-4f47-881a-2898c7573693,loss (-7c)
2026-07-04T17:53:36.545445Z,untracked,KXBTCD-26JUL0417-T63749.99,yes,3,9,0.27,4342fd45-e3aa-4719-ba34-4270586926cb,loss (-9c)
2026-07-04T18:51:34.741676Z,untracked,KXMLBGAME-26JUL041335MINNYY-NYY,yes,2,10,0.20,c8985312-5a56-47cf-bed1-8735b43c714e,loss (-10c)
2026-07-04T20:03:00.03826Z,untracked,KXMLBGAME-26JUL041335MINNYY-NYY,yes,1,18,0.18,8e12a75e-ca50-42c7-9f91-fe927ef532be,loss (-18c)
2026-07-05T13:02:09.342259Z,untracked,KXBTCD-26JUL0510-T62899.99,yes,9,6,0.54,890769b1-e246-410b-969a-4550a76c465e,loss (-6c)
2026-07-05T13:02:09.442223Z,untracked,KXETHD-26JUL0510-T1769.99,yes,3,16,0.48,006da326-a2f7-445e-ac05-6fb253810615,loss (-16c)
2026-07-05T13:02:09.488226Z,untracked,KXMLBGAME-26JUL072210COLLAD-COL,yes,1,35,0.35,27f10c7a-9910-460c-ae34-949bb2a3198e,win (+65c)
2026-07-05T13:02:09.631276Z,untracked,KXMLBGAME-26JUL071940BOSCWS-BOS,yes,1,52,0.52,a8ca4e36-3a64-4f50-a422-e588fb8652d8,win (+48c)
2026-07-05T13:02:09.73159Z,untracked,KXMLBGAME-26JUL071910PHICIN-CIN,yes,1,43,0.43,fee7c1f5-d476-4bff-bbd3-ff1e9b235e7e,loss (-43c)
2026-07-05T13:02:09.928273Z,untracked,KXMLBGAME-26JUL062210COLLAD-COL,yes,1,29,0.29,e54ae2c8-ee94-418b-91ad-e993a9e198c5,loss (-29c)
2026-07-05T20:06:21.744652Z,untracked,KXETHD-26JUL0517-T1789.99,yes,2,6,0.12,b057d424-e283-4d19-a3e4-441e765f6b59,loss (-6c)
2026-07-05T20:06:21.807134Z,untracked,KXMLBGAME-26JUL051300PITWSH-WSH,yes,4,3,0.12,ca1c9285-658f-4f6c-9b90-f0c45cae411d,loss (-3c)
2026-07-05T22:46:25.831068Z,untracked,KXMLBGAME-26JUL051700TORSEA-TOR,yes,1,5,0.05,658a4d0c-d700-4554-9d97-1afc5d797dd3,loss (-5c)
2026-07-06T14:51:21.64925Z,untracked,KXHIGHNY-26JUL07-T75,yes,1,82,0.82,913ae48b-66e3-4756-8c7f-04cebbb1ffe9,win (+18c)
2026-07-07T03:35:56+00:00,weather,KXHIGHDEN-26JUL07-B95.5,no,1,60,0.60,568b043c-d86a-4fc9-b21d-d7c9f1592f67,win (+40c)
2026-07-07T14:01:34+00:00,weather,KXHIGHMIA-26JUL08-B93.5,no,1,64,0.64,05d2330d-d949-4dd9-b2f7-525a67dda0d9,
2026-07-07T14:01:34+00:00,weather,KXHIGHLAX-26JUL08-B75.5,no,1,62,0.62,66eb375b-d806-4c27-ac0a-038c245fca25,
2026-07-07T14:01:34+00:00,weather,KXHIGHAUS-26JUL07-B96.5,no,1,61,0.61,5f42e6eb-c26d-431c-92d1-375fe6f6e66d,win (+39c)
2026-07-07T14:01:34+00:00,sports,KXMLBGAME-26JUL092145COLSF-COL,no,1,59,0.59,541aac71-d80f-4368-98a0-3060ccaa3126,
2026-07-07T13:20:02.4795Z,untracked,KXWTAMATCH-26JUL07PEGGAU-PEG,yes,1,78,0.78,150031ab-eb79-45cb-9ff6-d3d6d4b04ce1,loss (-78c)
2026-07-07T13:32:24.463314Z,untracked,KXWTAMATCH-26JUL07PEGGAU-GAU,yes,4,26,1.04,91c48995-e59a-4cae-8a97-29427f7454a5,win (+74c)
2026-07-07T17:03:41+00:00,weather,KXHIGHNY-26JUL08-B82.5,no,1,64,0.64,04222a34-e86d-4cbc-84bb-6850e3708697,
2026-07-07T17:03:41+00:00,weather,KXHIGHCHI-26JUL08-B88.5,no,1,62,0.62,191e588e-3fbf-4413-bb05-66d477da2d6c,
2026-07-07T17:03:41+00:00,weather,KXHIGHCHI-26JUL07-B83.5,no,1,73,0.73,154fb671-61f4-4ad6-bc37-467ec52cbcee,loss (-73c)
2026-07-07T17:03:41+00:00,weather,KXHIGHMIA-26JUL08-B95.5,no,1,87,0.87,13d122d9-0c0c-452a-b6d5-bef943ada8a7,
2026-07-07T17:03:41+00:00,weather,KXHIGHMIA-26JUL07-B94.5,no,1,87,0.87,3f6542b6-f33e-47a7-b439-8c3810ab96cf,win (+13c)
2026-07-07T17:03:41+00:00,weather,KXHIGHAUS-26JUL08-B99.5,no,1,73,0.73,af04a389-6db6-412f-bd4b-7d1be928d1da,
2026-07-07T17:03:41+00:00,weather,KXHIGHAUS-26JUL07-B98.5,no,1,63,0.63,fb5e7ebe-6452-496f-8cb9-c747895d70eb,loss (-63c)
2026-07-07T15:27:38.192807Z,untracked,KXWTAMATCH-26JUL07OSAMUC-OSA,yes,1,61,0.61,73cbb3d7-c553-4c53-af04-43e1bda25e10,loss (-61c)
2026-07-07T19:29:59+00:00,weather,KXHIGHNY-26JUL08-B82.5,no,1,66,0.66,8ff7b5ce-7757-4944-bc53-874fe83b0ceb,
2026-07-07T19:29:59+00:00,weather,KXHIGHCHI-26JUL08-B88.5,no,1,61,0.61,ce73d731-26c9-47c8-9f59-741296b64c65,
2026-07-07T19:29:59+00:00,weather,KXHIGHDEN-26JUL08-B92.5,no,1,62,0.62,40ee3c7f-861a-4ea2-b848-37b2c5f3ee3e,
2026-07-07T19:29:59+00:00,weather,KXHIGHLAX-26JUL08-B77.5,no,1,59,0.59,10481220-82a7-4b5d-b955-e09e1437c124,
2026-07-07T19:29:59+00:00,weather,KXHIGHLAX-26JUL07-B73.5,no,1,70,0.70,464626a7-bf0b-4703-a3cc-038f92e422ba,loss (-70c)
2026-07-07T17:06:09.539247Z,untracked,KXATPMATCH-26JUL07AUGDJO-AUG,yes,1,44,0.44,bd03f595-9803-4362-aeed-bb0e58e89f6c,loss (-44c)
2026-07-07T18:54:19.962926Z,untracked,KXATPMATCH-26JUL07AUGDJO-DJO,yes,1,40,0.40,b84cf8bf-c34c-463a-b889-8fdbaafd5372,win (+60c)
2026-07-08T20:53:32+00:00,weather,KXHIGHCHI-26JUL09-B84.5,no,1,64,0.64,254c6fb4-7928-45b8-94e5-99039bfdda52,
2026-07-08T20:53:32+00:00,weather,KXHIGHMIA-26JUL09-B94.5,no,1,60,0.60,ddeba0be-8b3d-49e7-864a-9904945c0117,
2026-07-08T20:53:32+00:00,weather,KXHIGHDEN-26JUL09-B90.5,no,1,68,0.68,cbe3c971-20b6-4895-a833-9fe521cd2538,
2026-07-08T20:53:32+00:00,weather,KXHIGHDEN-26JUL08-T93,no,1,70,0.70,4b0a15a9-4cf3-4577-a810-33310f7bd0e0,
