market,model,copyTrade,city,status,side,count,avgPrice_cents,exposure_usd,lastPrice_cents,unrealized_usd,realized_usd,total_usd,categoryTotal_usd,cityTotal_usd,result,closeDate,ticker
Houston vs Texas Total Runs? · Over 6.5 runs scored,sports,,,settled,yes,0,0,0.65,100,0.00,+0.35,+0.35,-2.50,,yes,2026-07-11T02:44:27Z,KXMLBTOTAL-26JUL102005HOUTEX-7
Kansas City vs Baltimore Total Runs? · Over 8.5 runs scored,sports,,,settled,yes,0,0,0.62,0,0.00,-0.62,-0.62,-2.50,,no,2026-07-11T01:29:39Z,KXMLBTOTAL-26JUL101905KCBAL-9
Kansas City vs Baltimore First Inning Run? · Yes,nrfi,,,settled,yes,0,0,0.90,0,0.00,+1.10,+1.10,+1.10,,no,2026-07-10T23:24:32Z,KXMLBRFI-26JUL101905KCBAL
"Will the high temp in Chicago be 84-85° on Jul 9, 2026? · 84° to 85°",weather,,Chicago,settled,yes,0,0,1.28,0,0.00,+0.72,+0.72,-31.73,-5.61,no,2026-07-10T05:59:00Z,KXHIGHCHI-26JUL09-B84.5
"Will the **high temp in Miami** be 94-95° on Jul 9, 2026? · 94° to 95°",weather,,Miami,settled,yes,0,0,0.60,0,0.00,+0.40,+0.40,-31.73,+0.26,no,2026-07-10T04:59:00Z,KXHIGHMIA-26JUL09-B94.5
"Will the **high temp in LA** be 77-78° on Jul 9, 2026? · 77° to 78°",weather,,Los Angeles,settled,yes,0,0,0.62,0,0.00,+0.38,+0.38,-31.73,+0.14,no,2026-07-10T07:59:00Z,KXHIGHLAX-26JUL09-B77.5
"Will the **high temp in Denver** be 90-91° on Jul 9, 2026? · 90° to 91°",weather,,Denver,settled,yes,0,0,2.74,100,0.00,-2.74,-2.74,-31.73,-0.57,yes,2026-07-10T06:59:00Z,KXHIGHDEN-26JUL09-B90.5
Colorado vs San Francisco Winner? · Colorado,sports,,,settled,yes,0,0,0.59,0,0.00,+0.41,+0.41,-2.50,,no,2026-07-10T04:39:29Z,KXMLBGAME-26JUL092145COLSF-COL
"Will the **high temp in Miami** be 95-96° on Jul 8, 2026? · 95° to 96°",weather,,Miami,settled,yes,0,0,0.87,0,0.00,+0.13,+0.13,-31.73,+0.26,no,2026-07-09T04:59:00Z,KXHIGHMIA-26JUL08-B95.5
"Will the **high temp in Miami** be 93-94° on Jul 8, 2026? · 93° to 94°",weather,,Miami,settled,yes,0,0,0.64,0,0.00,+0.36,+0.36,-31.73,+0.26,no,2026-07-09T04:59:00Z,KXHIGHMIA-26JUL08-B93.5
"Will the **high temp in Austin** be 99-100° on Jul 8, 2026? · 99° to 100°",weather,,Austin,settled,yes,0,0,0.73,100,0.00,-0.73,-0.73,-31.73,-1.70,yes,2026-07-09T05:59:00Z,KXHIGHAUS-26JUL08-B99.5
