model,when_utc,market,side,price,model_prob,city,outcome
weather,2026-07-06T20:45:22+00:00,KXHIGHCHI-26JUL07-B81.5,no,78,0.885,Chicago,
weather,2026-07-06T20:45:22+00:00,KXHIGHCHI-26JUL07-B85.5,no,77,0.873,Chicago,
weather,2026-07-06T20:45:22+00:00,KXHIGHMIA-26JUL07-B94.5,no,87,0.977,Miami,
weather,2026-07-06T20:45:22+00:00,KXHIGHDEN-26JUL07-B93.5,no,79,0.884,Denver,
weather,2026-07-06T20:45:22+00:00,KXHIGHAUS-26JUL07-B98.5,no,83,0.940,Austin,
weather,2026-07-06T20:45:22+00:00,KXHIGHAUS-26JUL06-B98.5,no,90,0.987,Austin,loss (-90c)
weather,2026-07-06T20:56:50+00:00,KXHIGHMIA-26JUL07-B90.5,no,74,0.804,Miami,
weather,2026-07-06T23:55:30+00:00,KXHIGHCHI-26JUL07-B83.5,no,64,0.803,Chicago,
weather,2026-07-07T03:35:55+00:00,KXHIGHDEN-26JUL07-B95.5,no,60,0.841,Denver,
weather,2026-07-07T14:01:34+00:00,KXHIGHMIA-26JUL08-B93.5,no,65,0.798,Miami,
weather,2026-07-07T14:01:34+00:00,KXHIGHLAX-26JUL08-B75.5,no,63,0.797,Los Angeles,
weather,2026-07-07T14:01:34+00:00,KXHIGHAUS-26JUL07-B96.5,no,62,0.881,Austin,
sports,2026-07-07T14:01:34+00:00,KXMLBGAME-26JUL092145COLSF-COL,no,60,0.714,,
weather,2026-07-07T17:03:40+00:00,KXHIGHNY-26JUL08-B82.5,no,65,0.882,New York,
weather,2026-07-07T17:03:40+00:00,KXHIGHNY-26JUL08-B80.5,no,70,0.877,New York,
weather,2026-07-07T17:03:40+00:00,KXHIGHNY-26JUL08-B78.5,no,83,0.915,New York,
weather,2026-07-07T17:03:40+00:00,KXHIGHCHI-26JUL08-B88.5,no,63,0.848,Chicago,
weather,2026-07-07T17:03:40+00:00,KXHIGHCHI-26JUL08-B86.5,no,64,0.853,Chicago,
weather,2026-07-07T17:03:40+00:00,KXHIGHMIA-26JUL08-B95.5,no,88,0.989,Miami,
weather,2026-07-07T17:03:40+00:00,KXHIGHAUS-26JUL08-B99.5,no,74,0.943,Austin,
weather,2026-07-07T19:29:58+00:00,KXHIGHNY-26JUL08-T83,no,80,0.920,New York,
weather,2026-07-07T19:29:58+00:00,KXHIGHCHI-26JUL08-B90.5,no,89,0.952,Chicago,
weather,2026-07-07T19:29:58+00:00,KXHIGHDEN-26JUL08-B92.5,no,63,0.842,Denver,
weather,2026-07-07T19:29:58+00:00,KXHIGHLAX-26JUL08-B77.5,no,60,0.846,Los Angeles,
weather,2026-07-07T19:29:58+00:00,KXHIGHLAX-26JUL07-B73.5,no,71,0.876,Los Angeles,
weather,2026-07-07T21:12:44+00:00,KXHIGHDEN-26JUL08-B90.5,no,84,0.926,Denver,
weather,2026-07-07T22:49:34+00:00,KXHIGHLAX-26JUL08-B73.5,no,84,0.919,Los Angeles,
weather,2026-07-07T23:43:19+00:00,KXHIGHDEN-26JUL08-B88.5,no,90,0.990,Denver,
weather,2026-07-08T02:51:12+00:00,KXHIGHAUS-26JUL08-B97.5,no,68,0.880,Austin,
