scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-07-06T20:45:22+00:00,2026-07-07,KXHIGHCHI-26JUL07-B81.5,no,78,0.885,9.3,,
2026-07-06T20:45:22+00:00,2026-07-07,KXHIGHCHI-26JUL07-B85.5,no,77,0.873,9.1,,
2026-07-06T20:45:22+00:00,2026-07-07,KXHIGHMIA-26JUL07-B94.5,no,87,0.977,9.9,,
2026-07-06T20:45:22+00:00,2026-07-07,KXHIGHDEN-26JUL07-B93.5,no,79,0.884,8.3,,
2026-07-06T20:45:22+00:00,2026-07-07,KXHIGHAUS-26JUL07-B98.5,no,83,0.940,10.0,,
2026-07-06T20:45:22+00:00,2026-07-06,KXHIGHAUS-26JUL06-B98.5,no,90,0.987,8.1,loss (-90c),-89
2026-07-06T20:56:50+00:00,2026-07-07,KXHIGHMIA-26JUL07-B90.5,no,74,0.804,5.0,,
2026-07-06T23:55:30+00:00,2026-07-07,KXHIGHCHI-26JUL07-B83.5,no,64,0.803,14.7,,
2026-07-07T03:35:55+00:00,2026-07-07,KXHIGHDEN-26JUL07-B95.5,no,60,0.841,22.5,,
2026-07-07T14:01:34+00:00,2026-07-08,KXHIGHMIA-26JUL08-B93.5,no,65,0.798,13.3,,
2026-07-07T14:01:34+00:00,2026-07-08,KXHIGHLAX-26JUL08-B75.5,no,63,0.797,15.1,,
2026-07-07T14:01:34+00:00,2026-07-07,KXHIGHAUS-26JUL07-B96.5,no,62,0.881,24.5,,
