scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome
2026-07-06T00:35:57+00:00,KXCPIYOY-26SEP,KXCPIYOY-26SEP-T3.0,no,90,1.000,9.4,
2026-07-06T00:35:57+00:00,KXCPIYOY-26AUG,KXCPIYOY-26AUG-T3.0,no,90,1.000,9.4,
2026-07-06T00:35:57+00:00,KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.6,no,60,1.000,38.3,
2026-07-06T00:35:57+00:00,KXCPIYOY-26JUL,KXCPIYOY-26JUL-T3.7,no,86,1.000,13.2,
2026-07-06T00:35:57+00:00,KXCPIYOY-26JUN,KXCPIYOY-26JUN-T3.8,no,80,1.000,18.9,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T80000,no,60,1.000,38.3,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T90000,no,71,1.000,27.6,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T100000,no,76,1.000,22.7,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T0,yes,82,1.000,17.0,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T125000,no,87,1.000,12.2,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26NOV,KXPAYROLLS-26NOV-T-25000,yes,88,1.000,11.3,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T70000,no,60,1.000,38.3,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T80000,no,65,1.000,33.4,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T90000,no,69,1.000,29.5,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T100000,no,76,1.000,22.7,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T0,yes,79,1.000,19.8,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T125000,no,85,1.000,14.1,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26OCT,KXPAYROLLS-26OCT-T-25000,yes,88,1.000,11.3,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26SEP,KXPAYROLLS-26SEP-T125000,no,62,1.000,36.4,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26AUG,KXPAYROLLS-26AUG-T125000,no,65,1.000,33.4,
2026-07-06T00:35:57+00:00,KXPAYROLLS-26JUL,KXPAYROLLS-26JUL-T125000,no,66,1.000,32.4,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-220000,no,56,1.000,42.3,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-225000,no,72,1.000,26.6,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-215000,yes,89,1.000,10.3,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-235000,no,89,1.000,10.3,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-230000,no,91,1.000,8.4,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-210000,yes,95,1.000,4.7,
2026-07-06T04:35:06+00:00,KXJOBLESSCLAIMS-26JUL09,KXJOBLESSCLAIMS-26JUL09-205000,yes,96,1.000,3.7,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T5.0,yes,8,1.000,91.5,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.9,yes,10,1.000,89.4,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.8,yes,13,1.000,86.2,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.7,yes,15,1.000,84.1,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.6,yes,23,1.000,75.8,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.5,yes,28,1.000,70.6,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.4,yes,38,1.000,60.4,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.3,yes,48,1.000,50.3,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.2,yes,55,1.000,43.3,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.1,yes,70,1.000,28.5,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T4.0,yes,80,1.000,18.9,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T3.9,yes,84,1.000,15.1,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T3.7,yes,94,1.000,5.6,
2026-07-06T04:35:06+00:00,KXU3-26NOV,KXU3-26NOV-T3.8,yes,94,1.000,5.6,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T5.0,yes,8,1.000,91.5,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.9,yes,10,1.000,89.4,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.8,yes,11,1.000,88.3,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.7,yes,16,1.000,83.1,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.6,yes,17,1.000,82.0,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.5,yes,25,1.000,73.7,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.4,yes,34,1.000,64.4,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.3,yes,48,1.000,50.3,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.2,yes,57,1.000,41.3,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.1,yes,70,1.000,28.5,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T4.0,yes,79,1.000,19.8,
2026-07-06T04:35:06+00:00,KXU3-26OCT,KXU3-26OCT-T3.9,yes,87,1.000,12.2,
